# generated using QSOGen (Temple+2021) https://arxiv.org/abs/2109.04472
# g,r,i,z,Y are for DECam and AB
# J,H,Ks are VISTA and AB
# WISE are in Vega (and therefore K2-W1 or z-W1 are in the weird AB-VEGA convention)
redshift g-r r-i i-z z-Y Y-J J-H H-Ks Ks-W1 W1-W2 W2-W3 W3-W4
5.668336673346693111e+00 inf 1.563886246388413781e+00 6.989390641872219589e-01 1.129128763025235571e-01 1.907859232388453563e-01 7.122449946095699147e-02 9.270095610158790578e-02 2.551655055127525884e+00 7.890554931548656725e-01 3.072306028760429797e+00 2.261228308868115988e+00
5.671342685370741599e+00 inf 1.564360524620184378e+00 7.018166460379298144e-01 1.113600989270047137e-01 1.928229832915420161e-01 7.091237468866040672e-02 9.308043135339261198e-02 2.552458802425967122e+00 7.877959532170315526e-01 3.071520235990453429e+00 2.262198723888209528e+00
5.674348697394789198e+00 inf 1.553569548603253025e+00 7.163692265433851958e-01 1.097965851505335877e-01 1.947600693431930097e-01 7.065691739246204861e-02 9.350057049473292636e-02 2.552303675231875957e+00 7.880737338255876523e-01 3.070595804222236325e+00 2.262792640340625994e+00
5.677354709418837686e+00 inf 1.571709825666850691e+00 7.071523527357790329e-01 1.082375999731759464e-01 1.967043125148890681e-01 7.036637348469199083e-02 9.392529635566759794e-02 2.551914616595329477e+00 7.888506147733060914e-01 3.069455615182860697e+00 2.263341875987020302e+00
5.680360721442886174e+00 inf 1.568691067385163507e+00 7.101822947664757635e-01 1.066720034561505770e-01 1.986530658980285580e-01 7.006943218830485876e-02 9.432765365465556329e-02 2.552085132015044167e+00 7.888773231865684465e-01 3.068464117974762928e+00 2.263924444570266203e+00
5.683366733466933773e+00 inf 1.561244088769807803e+00 7.250840027064207050e-01 1.051084444810115315e-01 2.005157496472520506e-01 6.981607070307660479e-02 9.475039512012983778e-02 2.553435656781687157e+00 7.873388027289252022e-01 3.067844937307285136e+00 2.264512375116025211e+00
5.686372745490982261e+00 inf 1.567152142997667141e+00 7.279620587908794960e-01 1.035205315614220467e-01 2.023748940289493703e-01 6.952270615935418618e-02 9.517847338882745589e-02 2.556162861357442750e+00 7.847045016140263840e-01 3.066961107027541544e+00 2.265085258090152820e+00
5.689378757515029861e+00 inf 1.576751278345437157e+00 7.188975016399794526e-01 1.019242969393481246e-01 2.042050683890046514e-01 6.923514775625605466e-02 9.555632449034234810e-02 2.557390558194413188e+00 7.826289656627452018e-01 3.066233405143584889e+00 2.266310981622147835e+00
5.692384769539078349e+00 inf 1.568689064644530617e+00 7.336946772359986824e-01 1.003380020454969213e-01 2.060021563346801088e-01 6.895339212599083112e-02 9.594361581104848824e-02 2.556865661494967412e+00 7.828720080971223183e-01 3.065205957236491585e+00 2.267310729958657234e+00
5.695390781563125948e+00 inf 1.566706276940301734e+00 7.367393087848626010e-01 9.873856238748146552e-02 2.077120104478034079e-01 6.870279344581220471e-02 9.637400627672576547e-02 2.554995907127715071e+00 7.847418429007149143e-01 3.064308319255328428e+00 2.267960902418158398e+00
5.698396793587174436e+00 inf 1.561063471315002005e+00 7.515097795328351538e-01 9.715018258300389675e-02 2.094415667496356548e-01 6.838424283536070902e-02 9.681048269304071141e-02 2.553450234279804221e+00 7.860133462770058088e-01 3.063711864023888509e+00 2.268583887963449897e+00
5.701402805611222036e+00 inf 1.572910017216504031e+00 7.424642271032553253e-01 9.554863680559222416e-02 2.111052757118692114e-01 6.809726220519252138e-02 9.723935350805845701e-02 2.553138073701283872e+00 7.864120474372313652e-01 3.062806549511172705e+00 2.269159309893716170e+00
5.704408817635270523e+00 inf 1.574554128019890697e+00 7.455906321834895323e-01 9.395469065408335041e-02 2.126891543694178210e-01 6.785470186808240101e-02 9.766867909445053897e-02 2.554208464689896374e+00 7.855767394608363929e-01 3.061797212988633277e+00 2.269693349210635702e+00
5.707414829659319011e+00 inf 1.561576564679867829e+00 7.602993828486965810e-01 9.238654558395964500e-02 2.142258965384407077e-01 6.759238416934820748e-02 9.811745837641439039e-02 2.556028964229483336e+00 7.842288919470306041e-01 3.060573681199626250e+00 2.270202842373727492e+00
5.710420841683366611e+00 inf 1.578732710564239028e+00 7.512564871714282333e-01 9.079716691732286904e-02 2.158127144446915224e-01 6.724692659289388530e-02 9.854302850951057735e-02 2.557006801057834622e+00 7.827267729735147839e-01 3.059819258056050373e+00 2.271154431843660504e+00
5.713426853707415098e+00 inf 1.583529357234034762e+00 7.542114041741605490e-01 8.922229318059393677e-02 2.172569971542088751e-01 6.700303584205613561e-02 9.893793549851537250e-02 2.556563317710491390e+00 7.818914814779489575e-01 3.059421599626563903e+00 2.272431931613510869e+00
5.716432865731462698e+00 inf 1.570712836867532047e+00 7.689770158028927938e-01 8.765676894259399887e-02 2.186555078245717709e-01 6.675032843314809838e-02 9.936912073776227317e-02 2.555963049607751003e+00 7.824583365336650331e-01 3.058492612983201298e+00 2.273110854669315728e+00
5.719438877755511186e+00 inf 1.575756964578694408e+00 7.722314273239696547e-01 8.610709214796230526e-02 2.200510256646488472e-01 6.642277122032425041e-02 9.981810816732306080e-02 2.555852308216739033e+00 7.825907146399373460e-01 3.057523749511441125e+00 2.273774093512654915e+00
5.722444889779558785e+00 inf 1.588126988305415210e+00 7.632365330289943017e-01 8.459831138644702264e-02 2.213621456766219353e-01 6.613916718354317936e-02 1.002613726547885165e-01 2.556804881916921346e+00 7.820312974303114117e-01 3.056240118474228495e+00 2.274387751590312590e+00
5.725450901803607273e+00 inf 1.579299557728322867e+00 7.786965599657875714e-01 8.307547863934416910e-02 2.225870337199182813e-01 6.588881645531330378e-02 1.007084831584279527e-01 2.559068771119065389e+00 7.797806085537573040e-01 3.055424995203136262e+00 2.274922892304600097e+00
5.728456913827654873e+00 inf 1.576940880334831263e+00 7.820814797169575172e-01 8.158485651918567783e-02 2.237311545986671035e-01 6.564585374749398738e-02 1.011744950903157303e-01 2.561575205704052394e+00 7.773164543856587727e-01 3.054686848763546791e+00 2.275363678929796407e+00
5.731462925851703361e+00 inf 1.572593775518303261e+00 7.975566201006110134e-01 8.010441748034580201e-02 2.249666700521295581e-01 6.525488872463114376e-02 1.016178542197785362e-01 2.561625331121092586e+00 7.768848196003901307e-01 3.053814888205771183e+00 2.276270249282109859e+00
5.734468937875751848e+00 inf 1.582960940694857044e+00 7.887607172320336701e-01 7.864324270651223969e-02 2.259619334850881955e-01 6.504971487779087624e-02 1.020663434751973853e-01 2.559922471139749689e+00 7.787354706356879319e-01 3.052786207408676233e+00 2.276858475419157202e+00
5.737474949899799448e+00 inf 1.585251738296360458e+00 7.924962102471013736e-01 7.722974698237194957e-02 2.269527149462362559e-01 6.476008067542338154e-02 1.025223298067068356e-01 2.558138002050206694e+00 7.808288571738977168e-01 3.051476527337555922e+00 2.277548090181785057e+00
5.740480961923847936e+00 inf 1.573511685632400514e+00 8.086040928924980165e-01 7.583035339473198633e-02 2.279087810792113089e-01 6.444328748186123335e-02 1.029415787509861957e-01 2.556896888541018598e+00 7.807858691789526517e-01 3.050928645794575900e+00 2.278927193368248894e+00
5.743486973947895535e+00 inf 1.578075538216644702e+00 8.124273052654977789e-01 7.447346384262942820e-02 2.287956806646604946e-01 6.411292990216566068e-02 1.034111492738318816e-01 2.557368646580322036e+00 7.801180293476122074e-01 3.050180488756847552e+00 2.279559041881885406e+00
5.746492985971944023e+00 inf 1.593759388509642605e+00 8.038791565445180254e-01 7.315051803572103495e-02 2.295315247855249652e-01 6.386377273387466857e-02 1.038874440755606088e-01 2.559071094405457103e+00 7.785780301711362483e-01 3.049197169167534582e+00 2.280086762109394982e+00
5.749498997995991623e+00 inf 1.578043140353543095e+00 8.209637772739846184e-01 7.184050268117658788e-02 2.302464169925180215e-01 6.357627044701885666e-02 1.043616028094866977e-01 2.560733905245658804e+00 7.773151482700519921e-01 3.048042111419768219e+00 2.280555083549291595e+00
5.752505010020040110e+00 inf 1.585152969695361236e+00 8.256667455951109957e-01 7.059661787435800306e-02 2.309746122429139348e-01 6.319490614364653425e-02 1.048244184638704724e-01 2.561037921712074450e+00 7.770548406319299772e-01 3.046758284632769431e+00 2.281430711973861492e+00
5.755511022044087710e+00 inf 1.597259059939609926e+00 8.170984962726066669e-01 6.937922872247881401e-02 2.315241990945118289e-01 6.290882589855328888e-02 1.053127795811761303e-01 2.560718126316153587e+00 7.773594537510923885e-01 3.045943353756968008e+00 2.281958692137077804e+00
5.758517034068136198e+00 inf 1.584238364551673328e+00 8.349820906260525533e-01 6.822407189490320434e-02 2.319974176155277235e-01 6.261417022471249538e-02 1.057879591520212159e-01 2.560394479112492405e+00 7.774108353170774421e-01 3.045170816296693062e+00 2.282666895107144711e+00
5.761523046092184686e+00 inf 1.584284025501251136e+00 8.397717463553249218e-01 6.708335392448105949e-02 2.324851034024533192e-01 6.226178380414992830e-02 1.062560929908684670e-01 2.561109274924927348e+00 7.766897711115916536e-01 3.044180556927376102e+00 2.283330824191111219e+00
5.764529058116232285e+00 inf 1.578964848119870368e+00 8.565450470254347692e-01 6.599323087821318268e-02 2.328599293779944901e-01 6.189963803618070415e-02 1.067018039099778548e-01 2.562414661615452616e+00 7.745871211875190454e-01 3.043183770510985653e+00 2.284665004065074001e+00
5.767535070140280773e+00 inf 1.588451308880653556e+00 8.481695204182564396e-01 6.496683546504655737e-02 2.331048357062321941e-01 6.159729081648634974e-02 1.071966544584910253e-01 2.565057262815450656e+00 7.724682948944519012e-01 3.041804257314066007e+00 2.285214357179944145e+00
5.770541082164328373e+00 inf 1.593557169275662488e+00 8.520049812002561396e-01 6.395237601014969187e-02 2.333321978354625514e-01 6.125693909709184481e-02 1.076569236285180864e-01 2.565853839696629279e+00 7.712060020729865073e-01 3.041006708320773910e+00 2.286101831222753233e+00
5.773547094188376860e+00 inf 1.578438642384753621e+00 8.683754733632618183e-01 6.296844527318512519e-02 2.335188497821043541e-01 6.087594982408006672e-02 1.081627312347137604e-01 2.564740355640317659e+00 7.723801411424560115e-01 3.040134475842050321e+00 2.286608618410989280e+00
5.776553106212424460e+00 inf 1.585409877058911121e+00 8.731234180880029783e-01 6.199583439461164858e-02 2.336197191037570065e-01 6.051807986271739992e-02 1.086745506454072085e-01 2.563220960062867704e+00 7.742006384007424913e-01 3.039015560666356919e+00 2.287117779687619645e+00
5.779559118236472948e+00 inf 1.602471842111857114e+00 8.648360641205954380e-01 6.106759914264259237e-02 2.336010674394373154e-01 6.020907976969525066e-02 1.091657557821008595e-01 2.562013342783522774e+00 7.756256618063197550e-01 3.037808370184057694e+00 2.287772280563336480e+00
5.782565130260521435e+00 inf 1.585766970350448446e+00 8.833289725695827599e-01 6.016020516311115784e-02 2.336391436024634061e-01 5.979688946323236109e-02 1.096695610212456984e-01 2.562357490605489119e+00 7.757029207385279790e-01 3.036414611536615737e+00 2.288406824094124659e+00
5.785571142284569035e+00 inf 1.592441715920301704e+00 8.886904988832426966e-01 5.925667137619683444e-02 2.335343064760344589e-01 5.943363707307369737e-02 1.101915540873470434e-01 2.563660623498659419e+00 7.743768943904036917e-01 3.035457839732528029e+00 2.289046928605397824e+00
5.788577154308617523e+00 inf 1.605937733396800127e+00 8.802437510356497796e-01 5.834347316475785306e-02 2.333605369493305659e-01 5.909293965124007286e-02 1.106733419195613521e-01 2.564796496496924760e+00 7.723281145927920477e-01 3.034679100191546297e+00 2.290280226391168128e+00
5.791583166332665122e+00 inf 1.592861217615467950e+00 8.992538232685909350e-01 5.746788182018036650e-02 2.331891079441028580e-01 5.871595121166706122e-02 1.111622513158678771e-01 2.565529311869632068e+00 7.713492089319586853e-01 3.033599903181416479e+00 2.291214046287677775e+00
5.794589178356713610e+00 inf 1.590719536348466079e+00 9.047931137220466269e-01 5.657556030837440630e-02 2.329947155414302529e-01 5.830901468119975561e-02 1.116839266720539570e-01 2.565599907013229597e+00 7.717510137630405609e-01 3.032307246365562037e+00 2.291725694638719446e+00
