_RAJ2000,_DEJ2000,recno,PSO,zP1mag,yP1mag,WISE,W1mag,W2mag,l_W3mag,W3mag,Nobs,Mm,SpT,AName,f_AName,l_Jmag,Jmag,l_Hmag,Hmag,l_Kmag,Kmag,Jmag2,f_Jmag2,Hmag2,f_Hmag2,Kmag2,f_Kmag2,Ref,2M,_RA,_DE
76.7091667,52.6086667,27,J076.7092+52.6087,20.0,18.25,J050650.20+523631.2,14.94,13.73,,12.27,1,1,*,J076.7+52,,,15.75,,15.35,,15.6,15.44,,15.47,,15.6,,1,2M,76.70917,52.60867
77.1034167,24.3808611,28,J077.1034+24.3810,20.21,19.19,J050824.82+242251.1,15.3,14.51,,12.37,0,0,,J077.1+24,,,16.93,,16.47,,15.82,17.06,,16.31,,15.59,,1,2M,77.10342,24.38086
78.9903333,31.0171667,29,J078.9904+31.0171,19.76,18.74,J051557.68+310101.8,14.88,14.25,>,12.26,3,0,*,J078.9+31,,,,,,,,16.67,,15.96,,15.3,,1,2M,78.99033,31.01717
85.3474583,36.3036389,30,J085.3474+36.3037,19.99,18.75,J054123.39+361813.1,12.77,12.17,,9.94,1,0,,J085.3+36,,>,15.86,>,14.55,,14.34,16.1,,14.7,,13.8,,2,2M,85.34746,36.30364
87.7748333,-12.65375,31,J087.7749-12.6537,19.71,18.76,J055105.96-123913.5,13.87,13.4,>,11.98,1,0,*,J087.7-12,,,16.63,,15.69,,14.71,16.52,,15.52,,14.71,e,1,2M,87.77483,-12.65375
88.045125,43.2122778,32,J088.0452+43.2123,19.69,18.67,J055210.83+431244.2,14.26,13.82,>,12.1,1,0,*,J088.0+43,,,16.37,,15.48,,14.87,16.29,,15.52,,14.8,,1,2M,88.04512,43.21228
88.332375,-24.4438889,33,J088.3324-24.4439,19.83,18.86,J055319.77-242638.0,15.61,15.06,>,12.96,1,0,*,J088.3-24,,,,,,,,16.84,,16.48,,15.62,e,1,2M,88.33237,-24.44389
100.52325,41.0320833,34,J100.5233+41.0320,19.74,18.63,J064205.58+410155.5,13.36,12.55,,11.7,1,1,*,J100.5+41,,,16.16,,15.09,,14.28,16.15,,15.11,,14.31,,1,2M,100.52325,41.03208
101.8428333,39.7461944,35,J101.8428+39.7462,19.71,18.71,J064722.28+394446.3,15.3,14.65,>,12.23,1,0,*,J101.8+39,,,,,,,,16.83,,16.2,,15.61,,1,2M,101.84283,39.74619
103.0926667,41.4600278,36,J103.0927+41.4601,18.88,17.64,J065222.24+412736.1,13.13,12.44,,11.8,1,0,*,J103.0+41,,,15.48,,14.46,,13.89,15.36,,14.51,,13.95,,1,2M,103.09267,41.46003
105.499125,63.3581111,37,J105.4992+63.3581,19.47,17.99,J070159.79+632129.2,14.2,13.22,,12.48,1,0,*,J105.4+63,,,15.79,,15.08,,14.88,15.66,d,15.16,d,14.89,d,1,2M,105.49912,63.35811
