_RAJ2000,_DEJ2000,recno,PSO,zP1mag,yP1mag,WISE,W1mag,W2mag,l_W3mag,W3mag,Nobs,Mm,SpT,AName,f_AName,l_Jmag,Jmag,l_Hmag,Hmag,l_Kmag,Kmag,Jmag2,f_Jmag2,Hmag2,f_Hmag2,Kmag2,f_Kmag2,Ref,2M,_RA,_DE
310.9850833,62.3469167,115,J310.9853+62.3470,19.29,17.92,J204356.42+622048.9,13.9,13.02,,12.12,1,0,*,J310.9+62,,,15.6,,14.7,,14.42,15.46,d,14.78,d,14.44,d,1,2M,310.98508,62.34692
313.1577917,-26.005,116,J313.1577-26.0050,20.36,19.18,J205237.87-260018.0,15.61,14.98,,12.6,1,0,*,J313.1-26,,,,,,,,17.24,,16.49,,15.92,e,1,2M,313.15779,-26.005
316.5155,4.1173333,117,J316.5156+04.1173,20.13,19.14,J210603.72+040702.4,14.87,14.45,>,12.01,1,0,*,J316.5+04,,,16.81,,16.02,,15.59,17.01,,16.09,,15.49,e,1,2M,316.5155,4.11733
319.3101667,-29.6681111,118,J319.3102-29.6682,18.9,17.66,J211714.44-294005.2,13.56,12.82,,11.94,1,1,*,J319.3-29,,,15.6,,14.53,,14.15,15.45,,14.65,,14.17,e,1,2M,319.31017,-29.66811
321.16175,18.8243056,119,J321.1619+18.8243,20.5,19.41,J212438.82+184927.5,14.73,14.04,,12.45,1,0,*,J321.1+18,,,17.03,,15.89,,15.36,16.99,,16.1,,15.42,e,1,2M,321.16175,18.82431
329.82875,3.0841111,120,J329.8288+03.0840,20.52,19.25,J215918.90+030502.8,14.89,14.29,>,12.56,1,0,*,J329.8+03,,,,,,,,16.98,,16.29,,15.72,,2,2M,329.82875,3.08411
330.32125,32.3685833,121,J330.3214+32.3686,19.9,18.63,J220117.10+322206.9,14.71,13.63,,12.29,1,0,*,J330.3+32,,,16.35,,15.44,>,15.23,16.13,,15.63,,15.34,e,1,2M,330.32125,32.36858
331.605625,33.0207222,122,J331.6058+33.0207,20.3,18.93,J220625.35+330114.6,15.37,14.62,,12.82,1,1,*,J331.6+33,,,16.58,,15.89,>,17.23,16.66,,16.08,,15.75,e,1,2M,331.60562,33.02072
331.9397083,-7.0569722,123,J331.9397-07.0570,20.71,19.77,J220745.53-070325.1,14.51,13.86,>,12.18,1,0,*,J331.9-07,,,17.41,,15.96,,15.66,17.54,,16.45,,15.5,e,1,2M,331.93971,-7.05697
334.11925,19.8800278,124,J334.1193+19.8800,20.79,19.18,J221628.62+195248.1,15.7,14.64,,12.93,1,1,*,J334.1+19,,,,,,,,16.59,,16.41,,16.28,e,1,2M,334.11925,19.88003
334.803375,11.2278056,125,J334.8034+11.2278,19.95,18.92,J221912.81+111340.1,14.11,13.69,,12.68,1,0,*,J334.8+11,,,16.74,,15.28,,14.82,16.58,,15.61,,14.9,e,1,2M,334.80337,11.22781
336.903625,-18.91475,126,J336.9036-18.9148,20.71,19.81,J222736.87-185453.1,14.15,13.61,>,12.7,1,0,*,J336.9-18,,,17.0,,15.76,,15.24,17.37,,16.1,,15.14,e,1,2M,336.90362,-18.91475
337.4316667,16.42125,127,J337.4314+16.4215,19.91,18.91,J222943.60+162516.5,15.72,15.16,>,12.69,1,0,*,J337.4+16,,,,,,,,17.02,,16.46,,15.85,e,1,2M,337.43167,16.42125
338.8586667,31.4728611,128,J338.8587+31.4729,20.13,19.14,J223526.08+312822.3,15.06,14.66,>,12.62,1,0,*,J338.8+31,,,,,,,,17.05,,16.19,,15.75,e,1,2M,338.85867,31.47286
339.0732917,51.09775,129,J339.0734+51.0978,19.15,17.27,J223617.59+510551.9,13.84,12.48,,11.02,1,0,*,J339.0+51,,,14.58,,14.49,,14.45,14.46,,14.62,,14.57,e,1,2M,339.07329,51.09775
341.7508333,-15.1074444,130,J341.7509-15.1075,19.72,18.73,J224700.20-150626.8,14.22,13.8,>,12.75,1,0,*,J341.7-15,,,16.41,,15.4,,14.83,16.43,,15.55,,14.78,e,1,2M,341.75083,-15.10744
342.3795417,-16.4665,131,J342.3797-16.4665,19.29,18.27,J224931.09-162759.4,14.09,13.67,>,12.08,1,0,*,J342.3-16,,,16.12,,15.26,,14.83,16.09,,15.37,,14.83,e,1,2M,342.37954,-16.4665
342.979125,-9.6001389,132,J342.9795-09.6000,21.22,20.04,J225154.99-093600.5,15.98,15.02,>,12.54,1,0,,J342.9-09,,,,,,,,18.85,,17.98,,17.31,e,1,2M,342.97912,-9.60014
344.814625,20.1916389,133,J344.8146+20.1917,20.31,18.99,J225915.51+201129.9,14.35,13.93,>,12.33,1,0,*,J344.8+20,,,16.58,,15.66,,14.85,16.76,,15.76,,15.0,e,1,2M,344.81462,20.19164
346.32025,-11.1653333,134,J346.3203-11.1654,20.37,19.29,J230516.86-110955.2,14.62,14.09,>,12.24,1,0,*,J346.3-11,,,17.71,,15.92,,15.4,17.13,,16.24,,15.51,e,1,2M,346.32025,-11.16533
346.528,-15.9405833,135,J346.5281-15.9406,20.15,19.28,J230606.72-155626.1,13.86,13.36,>,12.09,1,0,*,J346.5-15,,,16.69,,15.25,,14.78,16.56,,15.5,,14.63,e,1,2M,346.528,-15.94058
348.8807917,6.2872778,136,J348.8808+06.2873,19.09,18.06,J231531.39+061714.2,13.55,13.1,,11.67,2,0,*,J348.8+06,,,15.86,,14.76,,14.07,15.75,,14.89,,14.11,,2,2M,348.88079,6.28728
350.4672917,-19.0782222,137,J350.4673-19.0783,20.02,19.08,J232152.15-190441.6,14.57,14.13,>,12.61,1,0,*,J350.4-19,,,17.15,,15.85,,15.15,16.86,,15.93,,15.31,e,1,2M,350.46729,-19.07822
353.0516667,-29.8948611,138,J353.0517-29.8947,20.33,19.24,J233212.40-295341.5,15.78,15.15,>,12.84,1,0,*,J353.0-29,,,17.03,,16.84,,15.69,17.42,,16.68,,16.2,e,1,2M,353.05167,-29.89486
353.6355417,13.2209167,139,J353.6355+13.2209,19.79,18.88,J233432.53+131315.3,13.78,13.26,,12.4,1,0,*,J353.6+13,,>,16.65,,15.78,,14.76,16.6,,15.58,,14.66,,2,2M,353.63554,13.22092
353.8627917,45.1946944,140,J353.8627+45.1946,20.13,19.15,J233527.07+451140.9,13.48,12.93,,12.72,1,0,*,J353.8+45,b,,16.7,>,15.26,>,14.46,16.83,,15.63,,14.65,e,1,2M,353.86279,45.19469
357.8315,49.6330278,141,J357.8314+49.6330,20.04,18.73,J235119.56+493758.9,14.84,14.32,,12.55,1,0,*,J357.8+49,,,16.54,,15.77,,15.15,16.48,,15.91,,15.5,,1,2M,357.8315,49.63303
359.8867083,-1.8650278,142,J359.8867-01.8651,20.31,19.06,J235932.81-015154.1,15.24,14.54,>,12.64,1,0,*,J359.8-01,,,17.24,,16.03,,16.09,17.05,,16.36,,15.97,e,1,2M,359.88671,-1.86503
