# Name,redshift,ra,dec,OBJ_TYPE
VDESJ0244--5008,6.724,41.00424,-50.14826,HIGH_Z_QUASAR
J0244--3510,6,41.10944319,-35.17588181,HIGH_Z_QUASAR
PSO041.46186+06.65254,6.324,41.46186639,6.652547867,HIGH_Z_QUASAR
DES~J0246--5219,6.8876,41.73291667,-52.33052778,HIGH_Z_QUASAR
PSO~J042.6690--02.9174,5.89,42.66909,-2.91745,HIGH_Z_QUASAR
DES~J0252--0503,7.0006,43.06933333,-5.05883333,HIGH_Z_QUASAR
PSO~J045.1840--22.5408,5.68,45.184082,-22.540885,HIGH_Z_QUASAR
RD~J030117+002025,5.5,45.320875,0.340544444,HIGH_Z_QUASAR
SDSS~J0303--0019,6.078,45.880833,-0.3202499,HIGH_Z_QUASAR
VIK~J0305--3150,6.6139,46.320483,-31.848861,HIGH_Z_QUASAR
PSO~J047.4479+27.2993        ,6.1,47.44787453,27.2992726,HIGH_Z_QUASAR
J0313--1806,7.6423,48.4326625,-18.11011111,HIGH_Z_QUASAR
CFHQS~J0316--1340,5.99,49.207791,-13.675638,HIGH_Z_QUASAR
PSO~J049.2934--26.5543,5.94,49.2934283,-26.55436375,HIGH_Z_QUASAR
DES~J031941.66--100846.0,6.8275,49.92358333,-10.14611111,HIGH_Z_QUASAR
J0320-3521,6.1,50.0893348,-35.35114424,HIGH_Z_QUASAR
N0321-2928,6,50.34608951,-29.48254364,HIGH_Z_QUASAR
PSO050.56059-18.68818,6.3,50.56060537,-18.68818476,HIGH_Z_QUASAR
VDESJ0323--4702,6.25,50.91808,-47.02226,HIGH_Z_QUASAR
VIK~J0328--3253,5.86,52.147942,-32.889678,HIGH_Z_QUASAR
VDESJ0330--4025,6.25,52.61632,-40.42121,HIGH_Z_QUASAR
PSO~J053.9605--15.7956,5.87,53.96052437,-15.79569428,HIGH_Z_QUASAR
PSO~J055.4244--00.8035,5.68,55.424404,-0.80354013,HIGH_Z_QUASAR
PSO~J056.7168--16.4769,5.967,56.71685,-16.47691,HIGH_Z_QUASAR
SDSS~J0353+0104,6.057,58.457166,1.0678888,HIGH_Z_QUASAR
