DES_COADD_OBJECT_ID,DES_RA,DES_DEC,DES_PSF_MAG_I,DES_PSF_MAG_I_ERR,DES_PSF_MAG_Z,DES_PSF_MAG_Z_ERR,DES_PSF_MAG_Y,DES_PSF_MAG_Y_ERR,VHS_VIKING_JAPERMAG3,VHS_VIKING_JAPERMAG3_ERR,VHS_VIKING_HAPERMAG3,VHS_VIKING_HAPERMAG3_ERR,VHS_VIKING_KSAPERMAG3,VHS_VIKING_KSAPERMAG3_ERR,ALLWISE_W1,ALLWISE_W1_ERR,ALLWISE_W2,ALLWISE_W2_ERR,PHOTO_TYPE,PHOTOMETRIC_DISTANCE,PHOTOMETRIC_DISTANCE_UNC,GAIADR3_SOURCE_ID,PLX,PLX_ERR,PMRA_GAIADR3,PMRA_GAIADR3_ERR,PMDEC_GAIADR3,PMDEC_GAIADR3_ERR,CATWISE2020 OBJECT ID,PMRA_CATWISE2020,PMRA_CATWISE2020_ERR,PMDEC_CATWISE2020,PMDEC_CATWISE2020_ERR,NSCDR2_ID,PMRA_NSCDR2,PMRA_NSCDR2_ERR,PMDEC_NSCDR2,PMDEC_NSCDR2_ERR,VARIABILITY_FLAG,COADD_OBJECT_ID,ra_des,dec_des,g_mag,g_magerr,r_mag,r_magerr,i_mag,i_magerr,z_mag,z_magerr,Y_mag,Y_magerr,J_mag,J_magerr,K_mag,K_magerr,W1_mag,W1_magerr,W2_mag,W2_magerr,g_flux,g_fluxerr,r_flux,r_fluxerr,i_flux,i_fluxerr,z_flux,z_fluxerr,Y_flux,Y_fluxerr,J_flux,J_fluxerr,K_flux,K_fluxerr,W1_flux,W1_fluxerr,W2_flux,W2_fluxerr,Separation
1360311270,45.313782,-12.763377,21.9192662848595,0.0204374025577415,20.4258444689749,0.0099609219472903,19.9444792557714,0.0262265857695008,18.23141,0.025758248,-99.0,-99.0,17.17835,0.06868777,16.768,0.08,16.207,0.171,10.0,193.35705877335482,19.013017776027223,,,,,,,,0448m122_b0-012348,64.35000151395798,44.39999908208847,6.120000034570694,44.70000043511391,119616_1374,17.209692,8.778316,15.908983,8.800344,,1360311270,45.313782,-12.763377,99.0,99.0,24.86680222,0.17169181,22.21551514,0.02668195,20.79163551,0.01332994,20.24958038,0.03585442,19.159200000000002,0.0504,18.987099999999998,0.1496,19.467,0.08,19.546,0.171,0.0,0.04786300923226402,0.41046781733560983,0.06490891820338604,4.718391186627725,0.1159543885248697,17.51240514631007,0.21500554999730154,28.851463514528312,0.9527659535817175,78.76259201657282,3.6561686165007177,92.29113776465769,12.71649057025646,59.3198439664974,4.37084762995167,55.156919126080396,8.687039383255057,0.0
1362610763,45.450612,-54.038845,22.0867877111142,0.0267952960838722,20.5012407735697,0.0109170577571961,19.9819184060426,0.0185830735212467,18.265587,0.034711666,-99.0,-99.0,17.240324,0.07800514,17.041,0.086,16.287,0.145,10.0,203.10903366187276,19.84747304024956,,,,,,,,0459m546_b0-017943,39.329998195171356,39.09999877214432,61.239998787641525,36.89999878406525,178032_3053,43.887466,6.76509,42.53998,6.954931,,1362610763,45.450612,-54.038845,26.43769455,0.47731876,25.40504456,0.29252729,22.41054916,0.03050128,20.82857513,0.01319749,20.31615639,0.02446313,19.3206,0.0798,19.072400000000002,0.1767,19.740000000000002,0.086,19.625999999999998,0.145,0.09658777905729349,0.04246257859758093,0.25002427464363536,0.06736343798354923,3.9425783797194693,0.11075773890082156,16.926608445073718,0.20574863830532428,27.13547598701969,0.6113995957519169,67.88283945105587,4.98928797294829,85.31786910603539,13.885202874297512,46.1317574560379,3.654047017897008,51.23892386646816,6.842954972007212,0.0
1361051997,45.685055,-36.685381,23.9029438527853,0.108804505722607,20.7103194056202,0.0126688944324515,20.2221136131748,0.029624066471546,18.297897,0.0356744,-99.0,-99.0,16.545649,0.044597372,15.585,0.034,14.932,0.049,20.0,49.678675409155815,4.729564834558332,,,,,,,,0447m364_b0-003420,-4.8699998296797276,14.800000004470348,-2.9899999499320984,14.000000432133675,156993_500,5.047061,12.122445,-5.708127,12.069368,,1361051997,45.685055,-36.685381,99.0,99.0,25.63582993,0.28379089,24.04003906,0.11581127,20.87232018,0.01369827,20.48407745,0.03324515,19.0993,0.0909,18.324399999999997,0.113,18.284,0.034,18.271,0.049,0.0,0.04786300923226402,0.2021473386276641,0.05283748749361821,0.8789908940464902,0.09375854955544831,16.258180019847366,0.2051225137786463,23.247112644331168,0.7118246066961134,83.23002019298242,6.968183249657313,169.91823959466956,17.68455448943515,176.35996338980004,5.522739988751678,178.48429164980064,8.055115278014078,0.0
1368102439,46.512426,-48.261989,22.1228852082766,0.0222842392597424,20.6340370460967,0.00997700014350018,20.1487640601947,0.0232822107618888,18.467657,0.06645619,17.65555,0.06305443,17.266602,0.07797183,17.015,0.083,16.485,0.174,10.0,212.48426935693595,21.033295061596384,,,,,,,,0472m485_b0-021925,1.1399999493733048,55.1999993622303,-26.830000802874565,50.00000074505806,171801_5491,5.224875,6.659194,-37.273655,6.672781,,1368102439,46.512426,-48.261989,99.0,99.0,24.79590225,0.13760096,22.44768143,0.02741237,20.920084,0.01291946,20.42728233,0.03170197,19.5185,0.1461,19.1113,0.1615,19.714,0.083,19.823999999999998,0.174,0.0,0.04786300923226402,0.4381664288423009,0.05553109584468874,3.81002151393274,0.09619437851494599,15.558452560878495,0.18513410959427826,24.49554282886007,0.7152353955694343,56.571800347757474,7.612475290578157,82.31519285013336,12.244137744543604,47.24980276801963,3.6120501578182864,42.69725940480352,6.8426594819971465,0.0
1369374508,46.641935,-11.225511,21.9037653090175,0.0225414267530954,20.3450765950871,0.00924029170896384,19.8447988620092,0.0283684944527665,18.077896,0.033939455,-99.0,-99.0,17.149946,0.079914734,16.685,0.068,16.171,0.146,10.0,187.10861206988574,18.22524633684983,,,,,,,,0461m107_b0-013637,-61.400000005960464,35.999998450279236,22.15000055730343,35.00000014901161,117570_2563,30.03578,7.104018,26.823536,7.117807,,1369374508,46.641935,-11.225511,99.0,99.0,24.98635864,0.1994582,22.11494064,0.02921236,20.61281013,0.01190031,20.28151703,0.03383928,18.8481,0.0769,18.9033,0.1603,19.384,0.068,19.509999999999998,0.146,0.0,0.04786300923226402,0.36766860219889347,0.06754358680287734,5.176351316253294,0.13927272340572913,20.64790284281767,0.22631320904892363,28.01516521538289,0.8731522590985087,104.8962590302175,7.42954161800353,99.69652020147403,14.71936932586352,64.03243244689469,4.010371384234009,57.01642722807489,7.667054242842871,0.0
1371854670,47.066751,-45.193895,22.0622397154282,0.0195312215984107,20.4202427682504,0.0108273637410599,19.9462102228972,0.0192609221860089,17.938845,0.02669294,-99.0,-99.0,17.188871,0.08580063,16.865,0.075,16.269,0.154,10.0,193.64990215732297,18.95171206685583,,,,,,,,0468m455_b0-013439,12.210000306367874,37.59999945759773,-148.9199995994568,35.100001841783524,167630_1296,18.295727,4.401376,-146.18724,4.413839,,1371854670,47.066751,-45.193895,99.0,99.0,24.9314518,0.15299995,22.29033852,0.02370811,20.63053322,0.01116049,20.16900635,0.02308316,18.958000000000002,0.059,19.542499999999997,0.3087,19.564,0.075,19.607999999999997,0.154,0.0,0.04786300923226402,0.38674016661959454,0.05449871331220023,4.404175250033184,0.096169466238187,20.31359137478744,0.20880728892420583,31.074021364885414,0.6606453794813436,94.79818010107185,5.15142868171115,55.335010921573925,15.733027780256458,54.25003216311512,3.7474594605970917,52.09547473285574,7.389182633591009,0.0
