Table 1 
Pan-STARRS1 and WISE All-sky Photometry


Pan-STARRS1 Name	${z}_{{\rm{P}}1}$	${y}_{{\rm{P}}1}$	WISE Name	W1	W2	W3	
PSO J108.4590+38.2086	20.15 +or- 0.03	19.08 +or- 0.04	J071350.14+381230.6	13.98 +or- 0.03	13.51 +or- 0.04	>12.69	
PSO J109.4864+46.5278	20.65 +or- 0.06	19.20 +or- 0.06	J071756.71+463140.3	15.40 +or- 0.05	14.77 +or- 0.08	>12.54	
PSO J115.0659+59.0473	19.62 +or- 0.02	18.67 +or- 0.02	J074015.81+590250.2	15.31 +or- 0.04	14.90 +or- 0.09	>12.78	
PSO J117.1608+17.7259	19.38 +or- 0.03	18.43 +or- 0.02	J074838.58+174333.0	13.74 +or- 0.03	13.32 +or- 0.03	>12.55	
PSO J127.4696+10.5777	20.23 +or- 0.04	19.42 +or- 0.04	J082952.73+103440.4	14.35 +or- 0.03	13.70 +or- 0.05	11.27 +or- 0.24	
PSO J133.8016-02.5658	19.53 +or- 0.03	18.34 +or- 0.01	J085512.39-023356.8	14.17 +or- 0.03	13.57 +or- 0.04	>12.69	
PSO J133.8302+06.0160	19.11 +or- 0.02	18.34 +or- 0.02	J085519.22+060057.6	14.77 +or- 0.04	14.24 +or- 0.06	>11.87	
PSO J135.0395+32.0845	18.78 +or- 0.02	17.76 +or- 0.02	J090009.49+320504.2	13.96 +or- 0.03	13.44 +or- 0.04	>11.97	
PSO J135.7840+16.9932	19.87 +or- 0.02	18.73 +or- 0.04	J090308.17+165935.4	14.53 +or- 0.04	13.99 +or- 0.05	>12.35	
PSO J136.3401+10.1151	20.53 +or- 0.06	19.30 +or- 0.04	J090521.62+100654.7	15.19 +or- 0.05	14.32 +or- 0.07	>12.40	
PSO J136.5494-06.1944	17.89 +or- 0.00	16.82 +or- 0.01	J090611.85-061139.9	13.25 +or- 0.03	12.82 +or- 0.03	12.21 +or- 0.37	
PSO J140.2308+45.6487	18.49 +or- 0.02	17.24 +or- 0.01	J092055.40+453856.3	13.06 +or- 0.02	12.39 +or- 0.03	11.28 +or- 0.17	
PSO J143.6774-29.8356	19.33 +or- 0.03	18.38 +or- 0.02	J093442.54-295007.7	14.95 +or- 0.04	14.47 +or- 0.05	12.57 +or- 0.39	
PSO J146.0144+05.1319	19.67 +or- 0.02	18.75 +or- 0.03	J094403.46+050755.2	15.07 +or- 0.04	14.57 +or- 0.08	>12.63	
PSO J147.5092-27.6337	19.98 +or- 0.04	18.91 +or- 0.03	J095002.19-273801.3	15.48 +or- 0.05	15.03 +or- 0.09	>12.63	
PSO J149.0341-14.7857	19.51 +or- 0.02	18.36 +or- 0.02	J095608.17-144708.2	13.52 +or- 0.03	12.77 +or- 0.03	11.14 +or- 0.19	
PSO J149.1907-19.1730	18.48 +or- 0.01	17.37 +or- 0.01	J095645.75-191022.3	13.31 +or- 0.03	12.91 +or- 0.03	11.87 +or- 0.26	
PSO J152.2977+15.9912	19.59 +or- 0.03	18.61 +or- 0.04	J100911.47+155928.4	15.05 +or- 0.04	14.60 +or- 0.08	>12.10	
PSO J158.1597+05.2231	19.61 +or- 0.05	18.75 +or- 0.04	J103238.32+051323.2	14.85 +or- 0.04	14.45 +or- 0.08	>12.32	
PSO J159.0433-27.6357	18.99 +or- 0.03	18.04 +or- 0.02	J103610.38-273808.3	14.46 +or- 0.03	14.02 +or- 0.04	12.52 +or- 0.38	
PSO J159.2399-26.3885	20.44 +or- 0.10	19.04 +or- 0.05	J103657.59-262319.0	14.69 +or- 0.03	13.98 +or- 0.05	>12.88	
PSO J160.0416-21.3281	20.35 +or- 0.04	19.03 +or- 0.03	J104010.00-211940.9	15.05 +or- 0.04	14.18 +or- 0.05	>12.63	
PSO J167.1132+08.6331	19.74 +or- 0.02	18.74 +or- 0.03	J110827.18+083759.5	14.13 +or- 0.03	13.66 +or- 0.04	>12.62	
PSO J168.1800-27.2264	 ... 	19.16 +or- 0.14	J111243.25-271336.1	15.76 +or- 0.06	14.92 +or- 0.09	12.57 +or- 0.42	
PSO J174.6630-18.6530	19.04 +or- 0.02	18.20 +or- 0.02	J113839.14-183910.8	14.86 +or- 0.04	14.40 +or- 0.07	>12.48	
PSO J175.2003+16.1403	20.41 +or- 0.07	18.94 +or- 0.03	J114048.05+160825.1	14.63 +or- 0.03	14.22 +or- 0.05	>12.29	
PSO J175.8169-20.4072	20.52 +or- 0.07	19.23 +or- 0.04	J114316.04-202425.7	15.67 +or- 0.06	14.42 +or- 0.07	12.20 +or- 0.43	
PSO J180.1475-28.6160	19.73 +or- 0.06	18.21 +or- 0.02	J120035.41-283657.6	14.24 +or- 0.03	13.56 +or- 0.04	>12.40	
PSO J182.6569-26.6197	19.62 +or- 0.03	18.66 +or- 0.03	J121037.66-263710.6	14.93 +or- 0.04	14.44 +or- 0.06	>12.30	
PSO J183.4547+40.7901	21.17 +or- 0.18	19.79 +or- 0.07	J121349.14+404724.6	16.72 +or- 0.12	15.02 +or- 0.09	12.56 +or- 0.39	
PSO J183.9318-09.7914	19.45 +or- 0.02	18.51 +or- 0.02	J121543.62-094729.1	14.45 +or- 0.03	14.04 +or- 0.05	>12.60	
PSO J186.5342+21.8364	19.71 +or- 0.04	18.94 +or- 0.09	J122608.20+215010.8	15.57 +or- 0.05	15.05 +or- 0.09	12.76 +or- 0.52	
PSO J192.5647+26.4796	 ... 	19.60 +or- 0.12	J125015.56+262846.9	16.36 +or- 0.09	14.58 +or- 0.06	>12.84	
PSO J192.6717-21.8250	20.68 +or- 0.09	19.09 +or- 0.05	J125041.21-214930.1	15.75 +or- 0.05	14.76 +or- 0.06	>12.66	
PSO J202.1635-03.7660	21.43 +or- 0.15	19.58 +or- 0.04	J132839.25-034558.2	15.74 +or- 0.05	14.45 +or- 0.05	>12.82	
PSO J202.5764-26.1469	 ... 	18.70 +or- 0.12	J133018.38-260848.4	15.65 +or- 0.05	15.21 +or- 0.10	>12.89	
PSO J207.7496+29.4240	20.81 +or- 0.06	19.79 +or- 0.13	J135059.90+292526.7	14.43 +or- 0.03	13.76 +or- 0.04	12.96 +or- 0.48	
PSO J218.4532+50.7231	20.68 +or- 0.13	19.40 +or- 0.04	J143348.76+504322.8	15.88 +or- 0.05	14.70 +or- 0.05	>13.05	
PSO J218.5616-27.8952	19.75 +or- 0.03	18.76 +or- 0.04	J143414.79-275342.6	14.07 +or- 0.03	13.56 +or- 0.04	>12.05	
PSO J224.3820+47.4057	 ... 	19.72 +or- 0.13	J145731.67+472420.1	16.72 +or- 0.08	14.62 +or- 0.05	12.66 +or- 0.28	
PSO J228.6775-29.7088	19.85 +or- 0.05	18.77 +or- 0.03	J151442.58-294231.9	14.95 +or- 0.04	14.29 +or- 0.06	>12.53	
PSO J229.2354-26.6738	20.30 +or- 0.09	19.01 +or- 0.03	J151656.50-264025.3	14.80 +or- 0.04	14.39 +or- 0.07	>12.59	
PSO J231.2588+08.5622	20.96 +or- 0.05	19.49 +or- 0.05	J152502.10+083343.8	15.29 +or- 0.04	14.55 +or- 0.05	>12.70	
PSO J231.7900-26.4494	19.18 +or- 0.03	18.09 +or- 0.02	J152709.58-262657.7	14.25 +or- 0.03	13.85 +or- 0.05	>12.48	
PSO J231.8943-29.0599	18.75 +or- 0.02	17.81 +or- 0.01	J152734.62-290335.7	13.87 +or- 0.03	13.43 +or- 0.04	11.32 +or- 0.15	
PSO J237.1471-23.1489	17.39 +or- 0.01	16.62 +or- 0.01	J154835.30-230855.4	12.94 +or- 0.03	12.40 +or- 0.03	10.66 +or- 0.11	
PSO J239.7016-23.2664	19.28 +or- 0.02	18.28 +or- 0.03	J155848.37-231559.1	14.44 +or- 0.04	13.86 +or- 0.05	>12.38	
PSO J241.1376+39.0369	20.91 +or- 0.09	19.74 +or- 0.15	J160432.99+390212.9	16.11 +or- 0.05	15.15 +or- 0.06	>12.99	
PSO J242.9129+02.4856	20.61 +or- 0.04	19.52 +or- 0.08	J161139.11+022908.1	15.48 +or- 0.05	14.57 +or- 0.07	>12.12	
PSO J244.1180+06.3598	20.93 +or- 0.07	19.77 +or- 0.07	J161628.34+062135.2	14.78 +or- 0.04	14.09 +or- 0.05	>12.36	
PSO J244.6801+08.7185	21.14 +or- 0.20	19.56 +or- 0.05	J161843.22+084306.9	16.53 +or- 0.10	14.90 +or- 0.08	>12.53	
PSO J249.4774-10.8754	18.64 +or- 0.02	18.25 +or- 0.02	J163754.58-105231.6	13.81 +or- 0.04	13.39 +or- 0.08	10.91 +or- 0.16	
PSO J255.6623+10.7542	20.57 +or- 0.07	19.96 +or- 0.10	J170238.96+104515.2	14.64 +or- 0.03	13.57 +or- 0.04	11.13 +or- 0.12	
PSO J258.2413+06.7612	19.73 +or- 0.02	18.50 +or- 0.02	J171257.92+064540.3	13.88 +or- 0.03	13.39 +or- 0.03	>12.04	
PSO J260.1623+61.7636	21.10 +or- 0.09	19.66 +or- 0.11	J172038.99+614548.9	16.23 +or- 0.04	15.31 +or- 0.05	>14.07	
PSO J260.3363+46.6739	19.99 +or- 0.03	18.79 +or- 0.09	J172120.70+464026.1	14.45 +or- 0.03	13.94 +or- 0.04	12.72 +or- 0.32	
PSO J261.2881+22.9269	21.42 +or- 0.20	19.64 +or- 0.08	J172509.16+225536.8	16.57 +or- 0.10	15.11 +or- 0.09	>12.64	
PSO J263.5879+50.3975	20.59 +or- 0.08	18.89 +or- 0.03	J173421.02+502349.9	15.41 +or- 0.03	14.34 +or- 0.04	>13.48	
PSO J265.0759+11.4855	20.82 +or- 0.09	19.73 +or- 0.18	J174018.21+112907.5	15.57 +or- 0.05	14.96 +or- 0.08	>12.84	
PSO J268.7928+18.0557	19.68 +or- 0.06	18.15 +or- 0.02	J175510.28+180320.2	14.60 +or- 0.03	13.73 +or- 0.04	12.36 +or- 0.31	
PSO J272.0887-04.9943	20.87 +or- 0.10	19.51 +or- 0.07	J180821.29-045940.1	14.99 +or- 0.05	14.15 +or- 0.07	12.37 +or- 0.43	
PSO J272.4689-04.8036	18.79 +or- 0.03	17.46 +or- 0.01	J180952.53-044812.5	13.29 +or- 0.03	12.73 +or- 0.03	12.38 +or- 0.47	
PSO J274.0908+30.5470	21.12 +or- 0.18	19.79 +or- 0.07	J181621.86+303248.9	16.55 +or- 0.09	15.01 +or- 0.08	>13.04	
PSO J276.0671-01.9863	20.50 +or- 0.04	19.77 +or- 0.08	J182416.10-015910.8	14.20 +or- 0.04	13.37 +or- 0.05	>11.85	
PSO J276.8234+22.4380	19.91 +or- 0.04	18.86 +or- 0.02	J182717.60+222616.9	14.01 +or- 0.04	13.43 +or- 0.04	>12.09	
PSO J277.7441+45.7160	20.55 +or- 0.06	19.34 +or- 0.10	J183058.56+454257.4	14.81 +or- 0.03	14.17 +or- 0.04	>13.17	
PSO J280.2973+63.2600	19.66 +or- 0.02	18.56 +or- 0.04	J184111.36+631535.6	14.13 +or- 0.03	13.49 +or- 0.03	12.39 +or- 0.15	
PSO J282.5878+34.7691	20.14 +or- 0.08	19.32 +or- 0.07	J185021.04+344609.7	15.13 +or- 0.04	14.73 +or- 0.06	>13.12	
PSO J282.7576+59.5858	18.35 +or- 0.01	17.15 +or- 0.01	J185101.83+593508.6	12.65 +or- 0.02	12.18 +or- 0.02	11.23 +or- 0.07	
PSO J284.7214+39.3189	21.45 +or- 0.21	19.90 +or- 0.06	J185853.08+391908.0	16.59 +or- 0.08	15.40 +or- 0.09	>13.24	
PSO J289.8149+30.7664	19.10 +or- 0.04	17.74 +or- 0.02	J191915.54+304558.4	13.39 +or- 0.03	12.94 +or- 0.03	11.72 +or- 0.19	
PSO J291.2688+68.5310	20.16 +or- 0.05	18.65 +or- 0.05	J192504.54+683151.7	15.10 +or- 0.03	14.45 +or- 0.04	13.65 +or- 0.53	
PSO J296.0820+35.7035	19.74 +or- 0.11	19.07 +or- 0.04	J194419.69+354212.5	14.67 +or- 0.04	14.24 +or- 0.06	12.01 +or- 0.20	
