COADD_OBJECT_ID,ra_des,dec_des,g_mag,g_magerr,r_mag,r_magerr,i_mag,i_magerr,z_mag,z_magerr,Y_mag,Y_magerr,J_mag,J_magerr,K_mag,K_magerr,W1_mag,W1_magerr,W2_mag,W2_magerr,g_flux,g_fluxerr,r_flux,r_fluxerr,i_flux,i_fluxerr,z_flux,z_fluxerr,Y_flux,Y_fluxerr,J_flux,J_fluxerr,K_flux,K_fluxerr,W1_flux,W1_fluxerr,W2_flux,W2_fluxerr
931684428,324.850726,-42.589015,16.59947395,0.00031146,16.39365959,0.00027259,16.71150398,0.00041749,15.67686081,0.00025945,15.33211136,0.00057004,14.8042,0.0021,14.299,0.0027,13.756,0.023,13.471,0.02,832.1668665742004,0.2387197655630722,1005.8568179030837,0.2525351082432425,750.5824541634827,0.28861584187341344,1946.5056829184862,0.46514143787413365,2673.963384358268,1.4039009484436866,4348.3050111624625,8.410367530734954,6924.684643226374,17.220249683832066,11418.261895482245,241.88198058164204,14845.676750522742,273.4674718492956
979002481,342.171547,-51.16481,15.67311382,0.00032173,16.06835556,0.00026585,17.0936985,0.00055374,15.90231609,0.00033545,15.74335289,0.00066817,15.3495,0.0024,14.6371,0.0035,13.942,0.023,13.540000000000001,0.02,1953.2348839619028,0.5787909221992421,1357.2435173604824,0.33233043856234407,527.862244411109,0.2692168115415504,1581.5159054026585,0.4886265265378215,1830.875629969621,1.1267342512072953,2631.4795540202044,5.81683736986132,5071.775249650433,16.349471718805738,9620.552191862149,203.79968858284735,13931.568029453034,256.62896693320795
901157280,308.945956,-57.39155,16.52719498,0.00040836,16.4169693,0.00031713,17.34007645,0.00065158,16.20581245,0.00042,15.47086334,0.00071659,14.9144,0.0026,15.021,0.0046,14.929,0.022,14.661,0.02,889.4509596016059,0.3345344774091104,984.4922008371906,0.2875578895529693,420.6970047813777,0.2524717819799659,1195.8453523945457,0.4625939945675819,2353.177374231846,1.5531059636870532,3928.619789754544,9.407820618487422,3561.2298094276243,15.088063796321894,3876.1448670024115,78.54134982359723,4961.351535855702,91.39147270051564
1054342984,4.482139,-62.785635,23.05247116,0.02107882,21.79665375,0.00939219,21.37567711,0.01037631,16.62367821,0.00043588,20.94111443,0.05277194,20.0299,0.2476,19.2937,0.2712,20.014000000000003,0.116,19.891,0.197,2.1827878916418255,0.042377322285524564,6.939664901468614,0.060031756337575945,10.22655023403081,0.0977344726958933,813.8206696636043,0.32671670331928826,15.259989261336768,0.741708008050911,35.32157006621105,8.055014385692449,69.58569993618163,17.381424456501854,35.842640804371385,3.8294258910094148,40.142091820432206,7.283529879513242
1368752792,46.462425,-51.580236,20.71259499,0.0038464,19.1408062,0.00138525,18.63925934,0.00143102,17.5588932,0.00092777,17.80926132,0.00347216,16.8737,0.0123,15.7341,0.0097,14.56,0.023,13.942,0.02,18.834842980797497,0.06672554504846637,80.10830082025974,0.10220716894670165,127.14411523510272,0.1675782487370115,343.9083496037375,0.2938723495758701,273.0835072998369,0.8733149235982518,646.427762412675,7.323198252790296,1846.5454430338843,16.497092681383723,5445.02652842422,115.34625962082188,9620.552191862149,177.2171205068238
1048638437,2.457463,-54.368942,19.33003044,0.00133117,17.96482086,0.00062721,17.93798447,0.00070311,16.89517403,0.00053794,16.76642036,0.00117665,15.8876,0.0044,14.9129,0.0044,15.822,0.024,15.722,0.023,67.29577887894669,0.08250818345902332,236.63100923343964,0.13669741752267417,242.5527550779308,0.1570743122274674,633.7681179739637,0.31400741716894587,713.5622331729055,0.7733121526051907,1603.0977331325464,6.496633339545445,3934.051129545625,15.942937975303932,1702.9425618775535,37.64323350916171,1867.2393883829502,39.55519374282548
1449896172,48.568055,-62.821675,20.45261192,0.0033383,19.74326897,0.00225229,19.76087189,0.00348139,18.00541878,0.00134352,19.98885536,0.02355347,18.8677,0.0714,18.804900000000004,0.1647,17.855,0.03,16.787,0.026,23.930690610359527,0.07357940548953132,45.993071340215685,0.09540967151586435,45.25340308567982,0.14510407249756516,227.9462689418379,0.2820670158244946,36.68240960502385,0.7957715975328599,103.01963337844761,6.7747596432595465,109.15408664482038,16.558053412621366,261.8183008218986,7.234306998546413,700.1643593729765,16.76675537199459
1269986898,35.503013,-16.254595,19.88603973,0.00193897,19.48450089,0.00158114,19.34441948,0.00202187,18.23396683,0.00151987,19.75407791,0.02120009,19.0302,0.0656,18.1532,0.0876,16.689999999999998,0.025,16.312,0.027,40.32590363763215,0.07201631209643436,58.37133740686151,0.08500523057352154,66.40980545629441,0.12366907612501496,184.67719432986672,0.25852074022774535,45.53746348462306,0.8891647160838532,88.69926069119126,5.359194504007884,198.9390318097199,16.050914679052912,765.5966069112584,17.62851334320686,1084.4261957670733,26.967422802515458
1246891073,32.887656,-49.846173,23.5953598,0.03204368,21.9037323,0.00975147,19.86041832,0.00307466,18.36980247,0.00159113,17.79561806,0.00309108,16.5258,0.0117,16.3437,0.0164,16.736,0.026,16.873,0.03,1.3239027369505707,0.03907276506766098,6.287921047935673,0.05647455909879398,41.2888390828124,0.11692448075141838,162.95924804524583,0.2388143153059855,276.536700021953,0.7872971896468003,890.594482051041,9.597133626319888,1053.2221886871457,15.908877146007189,733.8376673335387,17.573126204189187,646.8446641717226,17.872978574454574
982841481,343.237298,-1.539991,23.60910416,0.03570817,21.68357086,0.00874471,19.37914467,0.00192755,18.35711288,0.0014135,18.25865936,0.00423792,17.3869,0.0291,17.424500000000002,0.0596,17.976,0.049,18.102999999999998,0.088,1.307249053333147,0.04299338202428084,7.701435029605785,0.06202870975712457,64.31942184977214,0.11418878825556636,164.8750149750697,0.21464775020482801,180.52454372886552,0.7046357770945515,402.9396454871149,10.799624837312258,389.2243481644409,21.36593681682418,234.20706947938302,10.569921454398141,208.35311605717538,16.887227424746285
