t1_coadd_object_id,t1_ra,t1_dec,t1_mag_aper_4_g,t1_mag_aper_4_r,t1_mag_aper_4_i,t1_mag_aper_4_z,t1_mag_aper_4_y,t1_magerr_aper_4_g,t1_magerr_aper_4_r,t1_magerr_aper_4_i,t1_magerr_aper_4_z,t1_magerr_aper_4_y,fluxlbs_w1,fluxlbs_w2,dfluxlbs_w1,dfluxlbs_w2,mag_w1_vg,mag_w2_vg,mag_w1_ab,mag_w2_ab,dmag_w1,dmag_w2
1007102358,350.891378,-60.801996,25.87334633,23.72573662,21.31459045,19.84879112,19.43704796,0.32851186,0.06619741,0.01270665,0.00625201,0.01350119,426.72006,706.27747,7.975942,28.338356,15.932424,15.374506,18.631424,18.713506,0.02029379400736625,0.04356358570028401
1231890204,31.002253,-55.028488,24.95191574,23.06162071,20.8621788,19.85690308,19.65512466,0.11689346,0.03185538,0.00822127,0.00546799,0.01485538,251.29256,496.37323,6.077185,22.199068,16.49226,15.737392,19.19126,19.076392,0.026257123479951152,0.04855687289882181
1023440137,356.795492,-47.896582,24.98654175,23.53239632,21.15670013,19.87644958,19.72418213,0.09588291,0.03323783,0.0070302,0.004441,0.01170364,285.93692,631.43976,7.698693,28.101133,16.35622,15.494847,19.05522,18.833847,0.02923284520032593,0.04831880952954789
1166794293,20.594499,-2.519684,25.59740448,23.40321922,20.81190109,19.76148605,19.6503067,0.23596695,0.04195448,0.00676445,0.00465401,0.01680485,252.3261,470.77158,8.369521,32.047245,16.478195,15.837677,19.177194999999998,19.176676999999998,0.03601328584789075,0.07391026909324888
1434000592,60.783522,-58.962266,25.09617996,23.16753387,20.83201027,19.76623726,19.48824692,0.13821241,0.03088852,0.00651931,0.00450947,0.01248994,244.09698,456.66147,5.166562,18.64328,16.53062,15.824221,19.229619999999997,19.163221,0.02298071617898579,0.04432536003408201
887409804,306.654436,-54.190892,24.72794533,22.92051888,20.93598175,19.76679802,19.51117134,0.09612697,0.02660559,0.00727202,0.00499158,0.01506772,679.21075,1080.8539,8.588105,29.227013,15.420774,14.913913,18.119774,18.252913,0.013728311174056531,0.02935903378896677
1591875195,89.674721,-29.016341,25.08896637,23.21184349,20.90538788,19.77334023,19.52692032,0.13980059,0.03011547,0.00867801,0.00502273,0.01159528,256.60635,403.98245,6.892142,25.530993,16.47487,15.92666,19.17387,19.26566,0.029161585820982622,0.06861665263806974
1305719024,25.851013,-36.819408,25.78110695,23.72649956,20.95258522,19.77498436,19.47047234,0.2779417,0.0569968,0.00727229,0.00509025,0.01168712,246.6083,396.66144,6.776966,25.56942,16.53148,15.985178,19.23048,19.324178,0.029836778991683906,0.06998826260668699
1241968958,32.041412,-48.112561,25.01387215,23.00681686,20.81713486,19.78216934,19.53809738,0.11434738,0.02841072,0.00755468,0.00544833,0.0135848,227.15929,446.33255,6.550143,23.308666,16.619442,15.883461,19.318441999999997,19.222461,0.03130722675459599,0.05670001562918692
1434803066,60.434091,-62.287794,24.50585175,22.29830933,21.51798248,19.79782677,19.33497429,0.06786086,0.01217973,0.01823195,0.0057163,0.00969586,949.39996,2306.532,7.849044,24.81703,15.057553,14.105648,17.756553,17.444648,0.00897618664692125,0.011681931126716925
1515537453,73.591861,-20.407194,26.39071465,23.69305992,21.06525612,19.80195808,19.49175835,0.46334293,0.05374991,0.00775089,0.00505689,0.01477217,261.66306,447.41,7.022983,25.638102,16.46173,15.933522,19.16073,19.272522,0.029140937618404618,0.06221634644438392
1496791553,70.070376,-36.450325,27.09092712,24.13408852,21.30362129,19.80521393,19.35797501,0.89083928,0.08038542,0.01129924,0.00522278,0.01236957,364.06863,595.9227,6.970923,24.608335,16.101704,15.55131,18.800704000000003,18.89031,0.020788892142893926,0.0448349429352442
921867310,321.769312,-45.806859,25.31942177,23.39760208,20.94652748,19.8265667,19.68634605,0.18260035,0.0444028,0.00741526,0.00522502,0.0154173,271.72815,437.68756,7.634128,29.141638,16.426998,15.866036,19.125998000000003,19.205036,0.030503461497668787,0.0722893093935667
1551344238,80.574158,-20.431266,25.92020988,24.43082619,21.46600914,19.99565697,19.62110138,0.34646472,0.10773901,0.01198424,0.00643285,0.01568857,375.26486,590.77277,7.837849,28.009924,16.062387,15.548018,18.761387,18.887018,0.022676880608345003,0.05147730248183857
1139420856,16.632423,-31.13126,23.33465958,21.82928085,21.47663689,19.99824905,20.75477791,0.02876601,0.00993035,0.01311163,0.00665775,0.03664683,207.71426,532.74634,7.369245,29.112848,16.688337,15.69599,19.387337000000002,19.03499,0.03851953206406158,0.05933193853048395
907332934,317.024901,1.753533,25.67809105,23.14299202,20.72784805,19.70047188,19.62913132,0.44789961,0.06224658,0.01094421,0.01033637,0.02979629,254.94588,441.41077,7.696692,29.383522,16.465425,15.895603,19.164425,19.234603,0.03277784744461161,0.07227452483478598
1042231118,1.416337,-32.31255,25.27682877,23.33540916,20.7863636,19.71581459,19.33485794,0.2700828,0.05830753,0.00989703,0.00743737,0.01763108,254.53453,465.0252,7.953477,30.066936,16.453032,15.814277,19.152032,19.153277,0.0339261550588483,0.07019998267049953
929636448,324.819324,-1.756635,24.44865608,23.06163788,20.77737045,19.72953033,19.61981773,0.10624263,0.04375526,0.00850228,0.00742269,0.02214906,251.0816,420.20288,8.300972,32.8958,16.514643,15.946591,19.213642999999998,19.285591,0.035895365630470334,0.08499742087556011
1568994484,84.819879,-17.729471,24.88329887,23.08016586,20.74977875,19.73073959,19.41611862,0.27437955,0.06395688,0.01348665,0.01106149,0.02052321,232.70518,416.2463,7.764855,28.584059,16.575724,15.909321,19.274724,19.248321,0.03622860564684115,0.07455861526034575
1214902280,29.051695,5.222632,24.36809349,23.42756081,21.22986794,19.99635124,19.60473633,0.19911186,0.0851777,0.0223398,0.01340379,0.02903068,329.82468,546.7387,8.581303,32.25653,16.208138,15.616565,18.907138000000003,18.955565,0.028248435960279112,0.06405634439425405
1514379334,73.051566,-45.876544,23.2465992,21.07187653,21.23867798,20.06612015,19.73188782,0.02759208,0.00523916,0.00969784,0.00677329,0.01577612,681.87354,1096.4591,6.747007,22.646278,15.413715,14.889882,18.112715,18.228882,0.010743150076855208,0.022424807206778186
1532508609,77.3195,-40.169407,25.19239235,23.83658791,21.30929375,20.06713676,19.76576424,0.1456342,0.05600694,0.0120699,0.00684636,0.0162158,259.21567,408.25543,5.883346,21.010313,16.477486,15.937744,19.176485999999997,19.276744,0.02464265280458903,0.05587594388493594
1470445017,65.018819,-20.564246,24.79083824,23.14941597,20.8913002,19.79512405,19.59958458,0.10842353,0.03429848,0.00764846,0.00558644,0.01567667,371.65555,593.67206,7.630321,27.890997,16.080309,15.55644,18.779308999999998,18.89544,0.022290843668623425,0.051008405599718434
1117335654,14.66684,-5.199296,24.61265564,22.93719101,20.81685066,19.79957008,19.62003899,0.10957814,0.03095599,0.00805896,0.00511652,0.01639292,224.78506,491.1019,8.821587,34.139633,16.610743,15.754165,19.309742999999997,19.093165,0.04260922140165211,0.07547646540413588
1044957704,1.797404,-2.167977,25.27287865,23.11412811,20.90507889,19.85865021,19.63097572,0.23723961,0.04246855,0.0100004,0.00684973,0.01923084,244.29405,372.1005,8.169886,32.070927,16.532215,16.004868,19.231215,19.343867999999997,0.036310098501975696,0.09357839230007758
1268940976,35.781274,-25.827345,25.46740532,23.7239933,21.00576591,19.86177826,19.5383606,0.20119584,0.05677192,0.00877391,0.00638469,0.01535718,234.85588,394.80695,7.183979,27.76057,16.573648,16.002348,19.272647999999997,19.341348,0.03321145757356427,0.07634276932997859
870852846,302.342374,-49.747312,25.13425255,23.16930008,21.07081604,19.86916542,19.85324669,0.39723405,0.09605914,0.02281322,0.01700336,0.05298456,240.4822,435.42114,7.461015,28.435535,16.511738,15.874145,19.210738,19.213145,0.033685212916978784,0.07090489417019799
1329433684,40.380712,-58.092405,22.54547119,21.60317993,21.45665741,20.09952545,21.4199791,0.01353532,0.00943485,0.01371223,0.00823023,0.0785225,274.7549,465.502,5.250501,19.25908,16.398342,15.791267,19.097341999999998,19.130267,0.020748161466160434,0.044919850884278044
