coadd_object_id,ra_des,dec_des,g_mag,g_magerr,g_flux,g_fluxerr,r_mag,r_magerr,r_flux,r_fluxerr,i_mag,i_magerr,i_flux,i_fluxerr,z_mag,z_magerr,z_flux,z_fluxerr,Y_mag,Y_magerr,Y_flux,Y_fluxerr,J_mag,J_magerr,J_flux,J_fluxerr,K_mag,K_magerr,K_flux,K_fluxerr,W1_mag,W1_magerr,W1_flux,W1_fluxerr,W2_mag,W2_magerr,W2_flux,W2_fluxerr
889344155,306.636647,-45.916553,99.0,99.0,0.0,0.14358902769679147,24.29275131,0.10160618,0.6964652880699908,0.06517713705527187,21.82826996,0.01837808,6.740498494009326,0.11409532077856721,20.56328392,0.01650921,21.61157567767571,0.32861577216458676,20.29789352,0.03568526,27.595774790135106,0.9069996873750683,19.406206,0.060467,62.736111959044905,3.4939099066634163,19.447462,0.157696,60.3969767521571,8.77226125846095,20.15137,0.07647027505028975,31.58289962026061,2.2244381372407545,20.180388999999998,0.17567637484782198,30.749949012918186,4.97546231365495
1547164802,79.284578,-41.081121,99.0,99.0,0.0,0.14358902769679147,24.5610733,0.12235978,0.5439646529769459,0.06130346853530866,21.76273727,0.01690279,7.159869258099736,0.11146516618562588,20.56443787,0.00953095,21.588618508535525,0.18951200362685153,20.24438667,0.02757124,28.989807531093696,0.7361686360745879,19.338564,0.038536,66.76892745731747,2.369827382765022,19.326268,0.123933,67.52938584669562,7.70824380679368,19.763665000000003,0.03994852886001615,45.13713608706389,1.660773745713159,19.899338999999998,0.09469552923355347,39.834961338427604,3.474317913881188
930146426,325.298984,-59.407375,25.32762527,0.16721416,0.2685034634037766,0.04135220037187129,23.60334396,0.04914035,1.3142028842760998,0.05948073705318104,21.5760231,0.01287793,8.503363801472327,0.10085849888766416,20.56693268,0.01077092,21.539069023900055,0.21367583425348466,20.51116371,0.02834565,22.674332765727733,0.5919657995599671,19.573747,0.079441,53.765191870735144,3.933884297755881,19.614244999999997,0.160189,51.79668909252241,7.64205871802024,20.351239999999997,0.07927002323152532,26.272657243689913,1.9181769392364987,20.295582999999997,0.1535898462814261,27.654562993807804,3.912055304580329
943074191,329.1668,-59.517499,99.0,99.0,0.0,0.14358902769679147,24.67114258,0.14964435,0.4915220077406631,0.06774526909640274,21.76301193,0.0184712,7.158058246396249,0.12177720969550673,20.56764412,0.01227778,21.524959946787007,0.2434096989464731,20.18513107,0.02464177,30.61593815986008,0.694856543572258,19.42707,0.091363,61.54205584625239,5.178667547089602,19.428407999999997,0.226729,61.466261603048395,12.835699837514525,19.903875999999997,0.057933241613233405,39.668849044648184,2.1166697823569827,19.932798,0.11714182356258776,38.62609461790416,4.167431408120288
1455933846,62.262741,-42.88991,25.8220768,0.24335285,0.1702822107790546,0.03816641751079396,23.8699894,0.05367574,1.0280263346582756,0.05082272656143313,21.61674309,0.01265131,8.190355715081287,0.09543637644914703,20.56812286,0.00966971,21.51547091278156,0.19161962484835818,20.20614243,0.01878645,30.029149218153364,0.5195931643958134,19.456577,0.038658,59.892052967985826,2.1324765384904696,19.599888,0.148517,52.48615999819295,7.179540472437448,19.84521,0.04264865198278081,41.87125710940985,1.64473899342665,19.858681999999998,0.09470828875529032,41.354921425389904,3.607371498384072
1178804439,22.615137,-45.606566,25.28990936,0.18020792,0.2779945334928656,0.046140873291850626,23.8061657,0.05962183,1.0902691410504275,0.059870750461375265,21.65500069,0.01663638,7.906781255130505,0.12115301761216607,20.56844711,0.01165196,21.509046378181527,0.23083189723101058,20.47196388,0.03046692,23.507933202405596,0.6596577668721905,19.255483,0.062725,72.07867590565283,4.164119172197312,19.791089999999997,0.201253,44.011280047645805,8.157968855245121,19.857916000000003,0.0466267218878345,41.38410811628316,1.7772321593935143,19.724742,0.09217988254382761,46.78463008901872,3.972052960528189
1086270185,9.499174,-52.808306,23.46110725,0.03213691,1.4981562140932585,0.044344207374922465,22.50060844,0.01779937,3.6287464502509557,0.0594890364907671,21.72361565,0.01535728,7.422560395038274,0.10498898148920723,20.57077408,0.0099093,21.46299715488688,0.19588853791082725,20.60198021,0.03199382,20.854890601055526,0.6145393449033058,19.668870000000002,0.053958,49.25519014930984,2.4478427986736624,19.429425000000002,0.114407,61.40871362770878,6.470804481987753,18.745213,0.019103999014629332,115.32269952675419,2.0291528720038388,18.845654,0.04193539684786787,105.13284088078585,4.0606432619253505
1544440193,79.228319,-57.237889,99.0,99.0,0.0,0.14358902769679147,24.37388611,0.09745441,0.6463169653702382,0.058012653770884014,21.8782444,0.01760401,6.437277630091907,0.10437332685075104,20.57111549,0.01104373,21.456249171489382,0.2182454832253103,20.29078293,0.03073781,27.777095246680666,0.7863853782370431,19.167432,0.043515,78.16767597165938,3.1328663491188498,19.044576999999997,0.095362,87.53247330431516,7.688121371162741,19.824443000000002,0.038623740174797076,42.67984170467439,1.5182832712758618,19.874841,0.08922030261103629,40.743994073786475,3.3481350855895182
874163049,301.423043,-53.998089,99.0,99.0,0.0,0.14358902769679147,25.19482422,0.29537556,0.30343824090079835,0.08255066003942899,21.77381516,0.0212005,7.08718771716932,0.13838713541962055,20.57927513,0.01272472,21.295603297246966,0.2495823460625143,20.39974976,0.07906866,25.124654367045878,1.8297011235873968,19.37253,0.052108,64.71247347843355,3.105761374850171,19.46242,0.108329,59.57060351547236,5.943638869135063,20.209563000000003,0.07944310784027979,29.934692412155474,2.190315646694535,20.117348999999997,0.16094211154416974,32.588202026387094,4.8306522547280455
908324476,316.962822,-44.758496,99.0,99.0,0.0,0.14358902769679147,24.52080154,0.12459089,0.5645200664731541,0.0647800609360888,21.61740494,0.01522391,8.185364507251037,0.11477304710801677,20.34770584,0.00918783,26.358316226114145,0.22305208899773957,20.06151772,0.0291156,34.307803344765794,0.9200137885126406,19.260301000000002,0.037784,71.7595323847462,2.4972568472369057,19.457659999999997,0.121442,59.832341636615695,6.6923799733219465,19.999370999999996,0.06389354732216698,36.32884578687864,2.1378847064980464,20.051893999999997,0.16434475383326652,34.61325166177113,5.239307944962482
