#lambda_mu flux_mjy
0.7943283915519714 5.854639860997019e-06
0.7946938872337341 5.393519459847318e-06
0.7950596213340759 5.172758031785928e-06
0.7954254150390625 4.999315072560084e-06
0.7957914471626282 4.825453483599566e-06
0.7961576581001282 4.651172518527441e-06
0.7965239882469177 5.628784935492203e-06
0.7968905568122864 7.821441007163325e-06
0.7972572445869446 1.0019002851442734e-05
0.7976240515708923 1.2221479181514513e-05
0.7979910969734192 1.3973771181513727e-05
0.7983583211898804 1.2934869156623232e-05
0.7987256050109863 1.1893622365136182e-05
0.7990931868553162 1.0849887836616872e-05
0.7994608879089355 9.803661987822973e-06
0.7998287677764893 1.0206907355072559e-05
0.8001968264579773 1.099106625788052e-05
0.8005650043487549 1.1776864646894079e-05
0.8009334206581116 1.2564616755685323e-05
0.8013019561767578 1.2816815985984457e-05
0.8016706705093384 1.2399767234272246e-05
0.8020395636558533 1.1981714007712907e-05
0.8024085760116577 1.1562708525011152e-05
0.8027778267860413 1.1079658053987658e-05
0.8031471967697144 1.0014284968399683e-05
0.8035168051719666 8.946373130114014e-06
0.8038865327835083 7.876059016651638e-06
0.8042564392089844 6.80319682185275e-06
0.8046265244483948 6.617231356149006e-06
0.8049967885017395 6.726778781005706e-06
0.8053671717643738 6.836563484523379e-06
0.8057377934455872 6.946599522168561e-06
0.8061085343360901 8.700046609437304e-06
0.8064795136451721 1.2893340616224724e-05
0.8068506121635437 1.7096002167682548e-05
0.8072218894958496 2.130859710294998e-05
0.8075932860374451 2.5186007416524757e-05
0.8079649209976196 2.323205875911514e-05
0.8083367347717285 2.1273195665720894e-05
0.808708667755127 1.9310181580748813e-05
0.8090807795524597 1.7342495745770326e-05
0.8094530701637268 1.661823244263655e-05
0.8098255395889282 1.6406915237780026e-05
0.810198187828064 1.6195075080202895e-05
0.810571014881134 1.5982740865410948e-05
0.8109440207481384 1.601316398688536e-05
0.8113171458244324 1.6474862734384934e-05
0.8116904497146606 1.6937633780495635e-05
0.812063992023468 1.7401416331442474e-05
0.8124376535415649 1.7860175273702458e-05
0.8128114938735962 1.7874738213389155e-05
0.8131855130195618 1.7889312194127332e-05
0.8135596513748169 1.7903896047241903e-05
0.8139340281486511 1.791849233358571e-05
0.8143085837364197 1.83199085535216e-05
0.8146833181381226 1.8916310649491438e-05
0.815058171749115 1.951402075361248e-05
0.8154332041740417 2.011311965932906e-05
0.8158084750175476 2.044345218432821e-05
0.816183865070343 2.0196410813863916e-05
