# lambda(micron)      flux(mJy)
# The Calzetti 2000 extinction law is applied to the original SED,
# so that the rest-frame 4400A (B and) flux is 1/30 of the quasar flux.
   0.794328        0.0000000419
   0.794694        0.0000000433
   0.795060        0.0000000447
   0.795427        0.0000000486
   0.795793        0.0000000539
   0.796159        0.0000000418
   0.796526        0.0000000394
   0.796893        0.0000000456
   0.797260        0.0000000682
   0.797628        0.0000000985
   0.797995        0.0000000882
   0.798362        0.0000000690
   0.798730        0.0000000932
   0.799098        0.0000000900
   0.799466        0.0000000820
   0.799834        0.0000000609
   0.800203        0.0000000705
   0.800572        0.0000000764
   0.800940        0.0000000815
   0.801309        0.0000000662
   0.801678        0.0000000560
   0.802047        0.0000000757
   0.802417        0.0000000710
   0.802787        0.0000000785
   0.803156        0.0000000725
   0.803527        0.0000000574
   0.803896        0.0000000742
   0.804267        0.0000000447
   0.804637        0.0000000601
   0.805008        0.0000000624
   0.805379        0.0000000590
   0.805750        0.0000000612
   0.806121        0.0000000680
   0.806492        0.0000000726
   0.806863        0.0000000791
   0.807235        0.0000000674
   0.807607        0.0000001998
   0.807979        0.0000001626
   0.808351        0.0000001417
   0.808724        0.0000001401
   0.809096        0.0000001442
   0.809469        0.0000002078
   0.809842        0.0000001733
   0.810215        0.0000001572
   0.810588        0.0000001248
   0.810961        0.0000001323
   0.811335        0.0000002130
   0.811708        0.0000001444
   0.812082        0.0000001059
   0.812456        0.0000001483
   0.812831        0.0000001589
   0.813205        0.0000001617
   0.813580        0.0000001374
   0.813955        0.0000001355
   0.814329        0.0000001259
   0.814704        0.0000001407
   0.815080        0.0000001499
   0.815455        0.0000001451
   0.815831        0.0000001429
   0.816207        0.0000001267
   0.816583        0.0000001861
   0.816959        0.0000001581
   0.817335        0.0000001605
   0.817711        0.0000000859
   0.818088        0.0000001290
   0.818465        0.0000001434
   0.818842        0.0000001660
   0.819219        0.0000001111
   0.819597        0.0000001304
   0.819974        0.0000001094
   0.820352        0.0000000729
   0.820730        0.0000001330
   0.821108        0.0000000951
   0.821486        0.0000001082
   0.821864        0.0000000887
   0.822243        0.0000000801
   0.822621        0.0000001305
   0.823000        0.0000001202
   0.823379        0.0000000745
   0.823759        0.0000001022
   0.824138        0.0000000621
   0.824518        0.0000000969
   0.824898        0.0000001325
   0.825277        0.0000001046
   0.825658        0.0000000795
   0.826038        0.0000001097
   0.826419        0.0000000921
   0.826799        0.0000004037
   0.827180        0.0000004041
   0.827561        0.0000005298
   0.827942        0.0000005545
   0.828324        0.0000005689
   0.828705        0.0000004813
   0.829087        0.0000004224
   0.829469        0.0000005093
   0.829851        0.0000005338
   0.830233        0.0000005788
   0.830615        0.0000005106
   0.830998        0.0000004628
   0.831381        0.0000003699
   0.831764        0.0000004860
   0.832147        0.0000004576
   0.832530        0.0000005605
   0.832914        0.0000005411
   0.833298        0.0000005130
   0.833681        0.0000004573
   0.834065        0.0000004539
   0.834449        0.0000004551
   0.834834        0.0000004124
   0.835219        0.0000003877
   0.835603        0.0000004053
   0.835988        0.0000004563
   0.836373        0.0000005238
   0.836758        0.0000004559
   0.837144        0.0000003495
   0.837529        0.0000003494
   0.837915        0.0000003893
   0.838301        0.0000005300
   0.838688        0.0000003060
   0.839073        0.0000005200
   0.839460        0.0000004334
   0.839847        0.0000003100
   0.840234        0.0000003830
   0.840621        0.0000003635
   0.841008        0.0000003451
   0.841395        0.0000003733
   0.841783        0.0000004152
   0.842170        0.0000003081
   0.842559        0.0000003701
   0.842947        0.0000003189
