,RA,Dec,W1-W2
J003402.80-005207.4,8.511666666666665,-0.8687222222222223,2.2150000000000003
J005021.03-332229.2,12.587625,-33.37477777777778,1.3400000000000003
J005911.09-011400.6,14.79620833333333,-1.2335,2.6950000000000007
J013657.45+093347.0,24.239375,9.563055555555556,0.36500000000000077
J015024.39+135924.3,27.601625,13.990083333333333,1.5659999999999994
J015142.21+124429.8,27.925874999999998,12.74161111111111,0.13200000000000023
J020742.96+000056.9,31.929,0.015805555555555555,0.7279999999999985
J024313.48-245331.5,40.80616666666666,-24.892083333333332,1.1109999999999993
J024749.98-163111.4,41.95824999999999,-16.51983333333333,0.36
J032553.11+042540.6,51.47129166666666,4.427944444444445,1.470000000000001
J034807.34-602234.9,57.030583333333325,-60.37636111111111,1.8080000000000003
J035104.53+481046.5,57.768874999999994,48.17958333333333,0.03300000000000003
J040708.95+151455.4,61.78729166666665,15.248722222222222,0.9400000000000001
J041521.20-093500.6,63.83833333333333,-9.5835,2.2150000000000003
J042348.32-041402.5,65.95133333333334,-4.2340277777777775,-0.027000000000000468
J043038.81+130956.8,67.66170833333332,13.165777777777778,0.31000000000000105
J051035.35-420809.2,77.64729166666666,-42.135888888888886,0.9889999999999995
J051609.28-044552.4,79.03866666666666,-4.764555555555556,1.213999999999999
J051859.89-282840.2,79.74954166666666,-28.477833333333333,-0.04999999999999838
J055919.58-140452.6,89.83158333333331,-14.081277777777778,0.8519999999999991
J060206.60+404356.8,90.52749999999997,40.73244444444445,1.0550000000000002
J072227.27-054029.9,110.61362499999998,-5.674972222222222,2.3360000000000007
J072719.13+170952.0,111.82970833333333,17.16444444444444,1.6619999999999995
J072859.49-395346.7,112.24787499999998,-39.89630555555556,1.6600000000000006
J073922.43+661502.5,114.84345833333333,66.25069444444445,0.33100000000000007
J074148.97+235124.0,115.45404166666665,23.85666666666667,1.0830000000000006
J074201.00+205517.1,115.50416666666666,20.92141666666667,1.1869999999999998
J075547.93+221214.4,118.94970833333332,22.204,1.2899999999999996
J075840.16+324721.0,119.66733333333333,32.78916666666667,0.30099999999999894
J081729.74-615504.1,124.37391666666664,-61.91780555555555,1.0939999999999999
J083048.90+012826.9,127.70374999999999,1.474138888888889,1.068
J083717.18-000021.2,129.3215833333333,-0.005888888888888889,0.07499999999999984
J085834.06+325628.2,134.64191666666665,32.94116666666666,-0.05699999999999983
J085910.62+101013.8,134.79424999999998,10.170499999999999,1.2819999999999987
J090900.49+652526.5,137.25204166666666,65.42402777777778,0.40600000000000114
J092012.04+351740.1,140.05016666666666,35.29447222222222,-0.15200000000000047
J092615.39+584718.8,141.564125,58.788555555555554,0.9409999999999995
J092624.75+071138.3,141.603125,7.193972222222222,1.2959999999999998
J093735.61+293127.7,144.398375,29.52436111111111,1.7820000000000005
J094908.57-154548.5,147.2857083333333,-15.763472222222223,0.23700000000000065
J100732.94-455512.9,151.88725,-45.920249999999996,1.1869999999999998
J102109.57-030421.5,155.28987499999997,-3.072638888888889,0.40100000000000036
J103931.34+325624.7,159.88058333333333,32.940194444444444,0.2120000000000003
J104829.08+091939.4,162.12116666666665,9.32761111111111,0.387000000000001
J105213.53+442254.6,163.056375,44.38183333333333,-0.03200000000000125
J105951.63+304159.0,164.96512499999997,30.699722222222224,0.9279999999999996
J110611.72+275417.5,166.5488333333333,27.90486111111111,0.20799999999999896
J111009.86+011608.7,167.5410833333333,1.2690833333333333,0.9569999999999995
J111448.80-261828.2,168.7033333333333,-26.307833333333335,2.4710000000000005
J112208.14-351239.7,170.53391666666664,-35.21102777777778,0.5200000000000001
J115323.23-014828.0,178.34679166666663,-1.807777777777778,1.133999999999999
J115700.56+061103.2,179.2523333333333,6.184222222222222,0.2139999999999992
J120257.02+090158.1,180.7375833333333,9.032805555555557,1.2990000000000017
J120602.54+281328.2,181.5105833333333,28.2245,0.6350000000000003
J120746.83+024426.3,181.945125,2.740638888888889,-0.0050000000000002265
J120956.33-100405.8,182.48470833333332,-10.068277777777778,0.5039999999999983
J121441.14+631643.6,183.67141666666663,63.278777777777776,0.5389999999999985
J121544.12-342103.9,183.9338333333333,-34.351083333333335,0.9959999999999992
J121710.30-031113.2,184.29291666666663,-3.187,1.5479999999999987
J122554.67-273954.0,186.47779166666663,-27.665,1.3259999999999992
J123146.73+084722.3,187.94470833333332,8.789527777777778,1.3609999999999993
J123737.39+652608.2,189.40579166666666,65.43561111111111,1.8649999999999989
J123828.37+095352.5,189.6182083333333,9.897916666666665,1.9610000000000007
J125011.60+392547.8,192.54833333333332,39.429944444444445,0.751
J125453.57-012245.8,193.7232083333333,-1.379388888888889,0.28900000000000026
J130041.65+122114.6,195.17354166666664,12.354055555555556,1.774999999999999
J130217.09+130850.7,195.57120833333332,13.147416666666667,2.3989999999999996
J132434.95+635827.5,201.145625,63.97430555555556,0.22599999999999965
J133553.41+113004.7,203.97254166666664,11.501305555555556,2.406000000000001
J134646.09-003151.4,206.69204166666665,-0.5309444444444444,1.2120000000000002
J135852.69+374708.7,209.71954166666663,37.78575,1.3599999999999999
J140255.66+080053.9,210.73191666666665,8.014972222222223,0.09000000000000041
J140449.73-315933.0,211.2072083333333,-31.9925,0.27100000000000135
J141530.10+572426.1,213.87541666666664,57.40725,0.26499999999999935
J142950.87+333011.5,217.46195833333329,33.503194444444446,0.9200000000000005
J143553.29+112949.3,218.97204166666666,11.497027777777777,0.4520000000000005
J143945.75+304219.2,219.94062499999998,30.705333333333332,0.3879999999999987
