,LePHARE_chi2_G,LePHARE_chi2_Q,LePHARE_chi2_S,BAGPIPES_BIC_G,BAGPIPES_BIC_Q,BAGPIPES_BIC_GQ
1228745162,7470.96,107.494,3138.12,6779.232795104215,298.32740885961294,98.07158602380065
1413280997,3164.35,95.6647,1403.85,3031.1275156745583,292.8811939113293,155.3888954993482
1695974542,3933.25,51.2216,1693.91,3742.874451769562,187.9452715788821,72.80178229322398
1143273115,3913.73,484.472,3208.79,3036.7243267742697,1479.640535260219,43.10392628948189
1456016600,4382.7,60.5028,1434.28,3869.2912610090375,199.52456243160867,193.1907296043672
1599741416,1887.7,20.131,687.077,1717.9801477847798,45.31219469185363,19.94507102179849
1096344653,2392.98,145.645,484.776,2293.06683023023,194.11533132396696,155.94250159212385
1513805078,3798.36,36.9397,2085.75,3375.0833642357493,26.878032436540735,20.478927371585158
1271696125,5248.62,101.127,1924.2,2584.514469257859,136.08490998265438,23.31685233080231
1197311621,1812.58,40.6125,1046.12,1179.9268803807151,72.34857946325283,41.88895496162481
1250552714,1809.14,23.2118,588.683,1174.2295513781746,21.601932087947702,26.20531475280022
